protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
1.63,0.074,0.239,2.1,0.0096,0.184,6.41,2.87,0.24,91.12,34,0.063,0.04,0.064
1.63,0.074,0.003,2.1,0.0096,0.184,6.41,2.87,0.24,91.12,29,0.063,0.04,0.064
1.69,0.081,0.003,2.2,0.0124,0.211,6.63,2.97,0.25,90.82,30,0.065,0.041,0.066
2,0.081,0.008,3.2,0.0211,0.303,7.03,1.2,0.1,90.17,31,0.026,0.017,0.027
5.34,0.031,0.375,1.3,0.0014,0.129,38.16,0,26.7,28.5,407,8.585,10.866,5.113
3.15,0.046,0.246,1.8,0.0046,0.19,30.53,0,14.1,51.22,258,4.534,5.738,2.7
0.85,0.045,0.371,1.2,0.0043,0.111,4.02,2.2,0.09,94.1,19,0.016,0.013,0.036
1.36,0.022,0.239,1.4,0.0052,0.166,9.56,4.73,0.19,87.86,42,0.031,0.027,0.073
1.36,0.022,0.003,1.4,0.0052,0.166,10.15,4.73,0.19,87.86,44,0.031,0.027,0.073
8.95,0.257,0.021,9.2,0.075,1.622,83.28,37.41,0.46,3.93,349,0.078,0.064,0.18
0.77,0.016,0.248,1.7,0.0026,0.108,6,2.9,0.1,92.24,26,0.016,0.013,0.038
0.77,0.016,0.012,1.8,0.0026,0.108,6.59,2.9,0.1,92.24,28,0.016,0.013,0.038
0.79,0.017,0.012,1.8,0.0033,0.124,6.81,0,0.1,91.99,29,0.017,0.014,0.039
0.71,0.027,0.244,1.4,0.0051,0.101,6.11,2.9,0.05,92.24,26,0.009,0.007,0.02
0.71,0.027,0.008,1.4,0.0051,0.101,6.7,2.9,0.05,92.24,28,0.009,0.007,0.02
0.89,0.036,0.01,1.7,0.008,0.142,8.45,3.81,0.06,90.22,35,0.011,0.009,0.025
1.1,0.023,0.004,1.7,0.0074,0.146,9.34,4.24,0.1,89.11,40,0.042,0.013,0.017
1.83,0.072,0.016,2.6,0.0188,0.276,7.34,2.33,0.19,89.83,32,0.032,0.027,0.074
0.8,0.02,0.008,0.9,0.0048,0.119,7.55,5.02,0.08,91.24,32,0,0,0
1.9,0.018,0.017,0,0.027,0.212,6.5,0,0.4,90.5,34,0.067,0.056,0.156
0.95,0.02,0.012,1.7,0.0018,0.133,7.86,0,10.8,80.01,132,1.477,2.185,5.47
0.97,0.052,0.015,1.8,0.0134,0.159,5.74,4.95,0.47,92.32,27,0.087,0.022,0.064
2.7,0.018,0.014,1.5,0.008,1.806,25.61,17.16,0.2,69.5,115,0.046,0.005,0.089
31.3,0.176,0.391,32.7,0.149,6.3,42.38,0,5.2,2,271,0,0,0
2.97,0.138,0.056,3.3,0.133,0.554,6.33,0.85,0.79,87.71,36,0.132,0.295,0.124
1.32,0.037,0.246,4,0.013,0.367,17.01,4.8,0.3,80.24,71,0.05,0.112,0.047
1.32,0.037,0.01,3.6,0.013,0.367,17.01,4.8,0.3,80.24,71,0.05,0.112,0.047
1.2,0.036,0.01,4.9,0.017,0.375,17.99,4.8,0.3,79.53,75,0.05,0.112,0.047
2.17,0.023,0.004,3.3,0.0066,0.1,8.48,2.83,0.27,88.15,38,0.049,0.023,0.129
2.17,0.023,0.26,2,0.0066,0.1,8.48,0,0.27,88.15,38,0.049,0.023,0.129
3.09,0.023,0.304,3.1,0.0081,0.158,10.12,4.36,0.42,85.8,48,0.077,0.035,0.201
3.09,0.023,0.068,3.1,0.0081,0.158,10.12,4.36,0.42,85.8,48,0.077,0.035,0.201
3.4,0.027,0.079,3.4,0.0112,0.194,11.15,0,0.47,84.36,53,0.084,0.039,0.221
3.28,0.017,0.442,2.3,0.003,0.096,8.57,0,0.38,86.4,51,0.068,0.036,0.176
2.54,0.014,0.273,2.2,0.0069,0.117,8.63,3.77,0.2,88.18,45,0.036,0.019,0.094
2.54,0.014,0.037,2.2,0.0069,0.117,8.63,3.77,0.2,88.18,45,0.036,0.019,0.094
3.98,0.023,0.061,3.5,0.014,0.203,13.51,0,0.32,81.5,70,0.057,0.031,0.148
3.27,0.042,0.004,2.8,0.0479,0.24,7.05,3.99,0.23,88.91,42,0.044,0.023,0.1
3.27,0.042,0.24,2.8,0.0479,0.24,6.46,3.99,0.23,88.91,40,0.044,0.023,0.1
3.5,0.059,0.241,3.1,0.022,0.217,8.43,4.82,0.38,86.6,50,0.073,0.039,0.167
3.5,0.059,0.005,3.1,0.022,0.217,9.02,4.82,0.38,86.6,52,0.073,0.039,0.167
2.8,0.05,0.004,3.1,0.022,0.192,7.2,0,0.3,89.3,42,0.058,0.031,0.133
2.8,0.043,0.004,2.6,0.06,0.2,7.55,4,0.2,88.89,42,0.039,0.021,0.089
4.47,0.023,0.291,4.9,0.0096,0.103,11.38,2.99,0.62,82.4,69,0.062,0.031,0.163
4.42,0.02,0.002,4.1,0.0096,0.173,12.58,4.16,0.35,81.7,69,0.062,0.031,0.163
3.19,0.018,0.009,3.3,0.0098,0.1,9.75,3.2,0.3,85.92,53,0.054,0.027,0.142
3.19,0.018,0.25,3.3,0.0098,0.1,9.75,3.2,0.3,85.92,53,0.05,0.025,0.132
3.09,0.015,0.254,2,0.0115,0.122,9.25,0,0.27,86.51,50,0.048,0.024,0.127
5.36,0.027,0.239,5.5,0.0142,0.271,15.63,5.93,0.22,77.87,84,0.039,0.019,0.102
5.36,0.027,0.003,5.5,0.0142,0.271,15.63,5.93,0.22,77.87,84,0.039,0.019,0.102
5.15,0.024,0.323,5.5,0.0099,0.11,14.26,4.65,0.27,79.52,78,0.049,0.024,0.129
5.15,0.024,0.072,5.5,0.0099,0.11,14.26,4.65,0.27,79.52,78,0.049,0.024,0.129
5.22,0.022,0.108,4.5,0.018,0.153,13.62,5,0.4,79.98,77,0.066,0.033,0.175
5.42,0.025,0.005,5.1,0.04,0.244,14.45,5.67,0.4,78.86,81,0.071,0.035,0.187
7.05,0.026,0.239,0,0.0066,0.268,17.08,0,0.51,74.37,98,0.09,0.045,0.24
7.05,0.026,0.003,0,0.0066,0.268,17.08,0,0.51,74.37,98,0.09,0.045,0.24
8.8,0.036,0.02,0,0.0104,0.381,27.11,0,0.68,62.27,124,0.124,0.061,0.326
4.82,0.113,0.07,0,0.0014,0.708,81.03,0,0.44,11.14,298,0,0,0
11.86,0.061,0.043,21.6,0.002,2.411,51.41,0,8.2,22.63,281,0.82,0.492,4.511
1.66,0.014,0.013,3.4,0.0827,0.256,5.35,1.95,0.45,91.81,27,0.048,0.027,0.243
1.74,0.011,0.01,3.7,0.0449,0.305,6.7,3.83,0.44,90.25,32,0.059,0.023,0.222
0.72,0.036,0.397,1.7,0.0342,0.113,4.6,0,0.27,93.25,21,0.028,0.017,0.153
10.58,0.045,0.091,28.7,0.0314,1.87,69.86,41.06,5.81,7.15,324,0.813,0.468,3.079
0.9,0.007,1.173,1.3,0.068,0.187,5.1,3.12,0.1,92.5,21,0.01,0.006,0.055
2,0.018,0.007,1.5,0.2425,0.34,9.46,5.1,0.2,87.74,40,0.021,0.011,0.109
0.9,0.007,1.173,1.3,0.068,0.187,5.1,3.32,0.1,92.5,21,0.01,0.006,0.055
1.87,0.014,0.009,1.5,0.1437,0.322,8.81,5.3,0.44,88.02,40,0.042,0.024,0.239
0.8,0.012,0.001,0,0.0929,0.202,6.68,0,0.41,91.51,29,0.046,0.024,0.24
0.92,0.023,1.671,2.6,0.01,0.193,4.74,2.14,0.94,88.89,27,0.097,0.053,0.514
0.91,0.012,0.003,2.8,0.1186,0.248,6.5,4.12,0.37,91.69,29,0.092,0.029,0.112
12.35,0.097,0.089,26.8,0.0064,2.222,51.13,0,15.85,14.84,345,0,0,0
0.8,0.041,1.369,1.2,0.0465,0.146,3.9,0,0.3,91.25,18,0.045,0.02,0.161
0.92,0.009,0.238,1.2,0.0744,0.166,6.11,3.19,0.2,91.87,26,0.029,0.013,0.106
0.92,0.009,0.002,1.2,0.0744,0.166,6.7,3.19,0.2,91.87,28,0.029,0.013,0.106
17.9,0.134,0.193,21.3,1.9,3.17,68.7,38.48,3,2,314,0.447,0.202,1.607
0.95,0.008,0.004,0.9,0.0412,0.072,3.9,0,0.18,94.7,18,0.027,0.012,0.099
0.95,0.008,0.24,0,0.0412,0.072,3.31,0,0.18,94.7,16,0.027,0.012,0.099
1.08,0.009,0.005,1.6,0.0587,0.091,4.45,0,0.21,93.96,20,0.031,0.014,0.113
0.86,0.01,0.003,1.7,0.0804,0.175,4.64,2.4,0.17,93.89,20,0.058,0.008,0.062
0.78,0.008,0.017,1.8,0.177,0.134,4.22,2.17,11.85,82.65,127,1.59,2.337,5.9
0.8,0.041,1.369,1.2,0.0465,0.146,3.9,0,0.3,91.25,18,0.045,0.02,0.161
0.92,0.009,0.238,1.2,0.171,0.166,6.11,4.39,0.2,91.87,26,0.029,0.013,0.106
0.92,0.009,0.002,1.2,0.171,0.166,6.7,4.39,0.2,91.87,28,0.029,0.013,0.106
17.9,0.134,0.193,21.3,1.9,3.17,68.7,40.77,3,2,314,0.447,0.202,1.607
0.95,0.008,0.24,0,0.0412,0.072,3.31,2.86,0.18,94.7,16,0.027,0.012,0.099
0.95,0.008,0.004,0,0.0412,0.072,3.31,2.86,0.18,94.7,16,0.026,0.012,0.097
1.08,0.009,0.005,1.6,0.0587,0.091,4.45,3.26,0.21,93.96,20,0.031,0.014,0.113
0.99,0.007,0.004,2.1,0.1277,0.211,6.03,4.2,0.3,92.21,31,0.027,0.003,0.07
1.04,0.007,0.021,1.8,0.1628,0.193,6.57,4.28,12.75,78.95,133,1.557,2.287,5.719
1,0.011,0.002,0.9,0.1835,0.212,6.32,0,0.21,92.02,27,0.031,0,0
0.63,0.004,1.096,3.2,0.0023,0.076,34.48,0,0.54,61.12,129,0.052,0.269,0.131
1.5,0.005,1.091,1.5,0.001,0.078,23.35,0,0.46,71.65,91,0.044,0.227,0.11
0.37,0.003,0.811,1.1,0.001,0.025,35.06,29.13,0.47,62.07,130,0.054,0.209,0.122
1.5,0.023,0.527,1.5,0.006,0.2,26.64,23.88,0.9,68.9,121,0.149,0.17,0.397
0.6,0.042,0.875,1.1,0.0008,0.092,2.59,1.31,0.14,94.33,12,0.036,0.002,0.056
0.62,0.009,0.018,1.2,0.0019,0.116,4.13,1.92,0.19,91.67,18,0.05,0.003,0.077
0.33,0,1.208,1.2,0.001,0.023,2.26,1.06,0.2,94.08,11,0.052,0.003,0.081
0.33,0,0.018,1.2,0.001,0.023,2.26,1.06,0.2,94.08,11,0.052,0.003,0.081
0.58,0.061,0.457,1,0.0007,0.1,21.15,18.27,0.41,76.2,91,0.067,0.004,0.106
0.37,0.004,0.018,1.1,0.0012,0.032,33.73,26.68,0.26,65.26,122,0.067,0.004,0.106
5.96,0.041,0.24,6.2,0.0281,0.456,19.49,2.48,1.36,71.8,111,0.112,0.017,1.149
5.96,0.041,0.005,6.2,0.0281,0.456,19.49,2.48,1.36,71.8,111,0.112,0.017,1.149
7.2,0.042,0.005,5.1,0.039,0.552,23.88,3,1.64,65.88,136,0.354,0.013,0.873
1.1,0.006,0.014,1.9,0.0849,0.158,5.1,2.71,0.3,93.1,23,0.045,0.02,0.161
0.38,0.016,0.012,0.4,0.004,0.183,27.23,0.39,0.14,71.64,112,0.029,0.011,0.058
2.3,0.053,0.254,1.5,0.082,0.184,3.1,1.6,0.4,92.9,20,0,0,0
2.3,0.053,0.018,1.5,0.082,0.184,3.1,1.6,0.4,92.9,20,0.092,0.013,0.176
2.6,0.053,0.023,1.7,0.136,0.242,3.7,0,0.4,91.6,23,0,0,0
6.9,0.065,0.055,5.9,0.0038,1.001,83.1,3.52,0.34,6.52,357,0.09,0.008,0.15
6.08,0.032,0.764,3.3,0.0276,0.622,27.81,1.79,14.76,47.77,268,2.496,3.73,7.516
2.05,0.014,0.48,2.5,0.0063,0.312,27.75,0.25,8.62,59.7,190,1.823,6.03,0.447
2.03,0.013,0.457,1.9,0.0075,0.285,25.97,0.21,7.77,62.42,175,1.641,5.413,0.403
2.68,0.019,0.529,1.3,0.01,0.254,11.17,0,8.2,76,143,1.429,2.48,3.737
2.5,0.015,0.01,2.2,0.0096,0.535,21.15,1.18,0.13,74.89,93,0.035,0.003,0.058
2.02,0.012,0.006,2.2,0.0197,0.421,17.47,0.78,0.09,79.34,77,0.026,0.002,0.043
2.63,0.018,0.014,2.3,0.0083,0.55,21.44,1.08,0.13,74.45,97,0.034,0.003,0.056
2.3,0.083,0.439,0.9,0.0031,0.219,12.84,0,4.12,78.98,93,2.586,1.175,0.134
8.9,0.311,2.095,4.1,0.0155,0.99,74.31,0,3.7,4.97,314,2.323,1.055,0.121
5.06,0.119,0.433,1.8,0.0099,0.396,11.27,0,7.59,74,132,4.733,2.149,0.276
5.06,0.119,0.433,1.8,0.0099,0.396,11.27,0,7.59,74,132,3.53,2.587,1.076
2.5,0.015,0.01,2.2,0.0096,0.535,21.15,1.18,0.13,74.89,93,0.035,0.003,0.058
1.96,0.005,0.241,1.5,0.0128,0.391,21.55,1.7,0.1,75.42,93,0.026,0.002,0.043
1.96,0.005,0.005,1.5,0.0128,0.391,21.55,1.7,0.1,75.42,93,0.026,0.002,0.043
4.29,0.034,0.257,7.9,0.0135,0.573,46.06,1.4,0.1,47.31,198,0.026,0.002,0.043
4.29,0.034,0.021,7.9,0.0135,0.573,46.06,1.4,0.1,47.31,198,0.026,0.002,0.043
1.87,0.005,0.24,2,0.013,0.379,20.13,0.87,0.1,76.98,87,0.026,0.002,0.043
1.87,0.005,0.004,1.8,0.013,0.379,20.13,0.87,0.1,76.98,87,0.026,0.002,0.043
2.86,0.045,0.25,3.3,0.0052,0.407,17.2,0,0.1,77.8,78,0.026,0.002,0.043
2.86,0.045,0.014,3.3,0.0052,0.407,17.21,0,0.1,77.8,78,0.026,0.002,0.043
1.71,0.008,0.241,2,0.0074,0.328,20.01,0.85,0.1,77.46,86,0.026,0.002,0.043
1.71,0.008,0.005,1.8,0.0074,0.328,20.01,0.85,0.1,77.46,86,0.026,0.002,0.043
1.41,0.005,0.219,2.3,0.0051,0.229,13.61,0,0.21,84.28,60,0.054,0.005,0.089
1.4,0.005,0.005,2.4,0.0051,0.229,13.6,0.59,0.2,84.3,62,0.051,0.005,0.085
1.2,0.039,0.217,1.4,0.0076,0.205,9.89,0,0.11,87.83,44,0.029,0.002,0.048
2.66,0.012,0.388,2.8,0.0133,0.451,27.74,0.28,5.22,62.48,164,1.029,3.237,0.321
2.24,0.009,0.332,1.9,0.0173,0.408,24.81,0.2,4.66,66.61,147,1.005,3.164,0.303
2.24,0.009,0.023,1.9,0.0173,0.408,24.81,0.2,4.66,66.61,150,0.94,2.96,0.265
2.66,0.012,0.032,2.6,0.0133,0.451,28.71,0.28,5.22,61.51,172,1.029,3.237,0.321
2.12,0.009,0.358,2.7,0.0161,0.416,29.92,0.21,5.05,61.08,174,0.975,3.102,0.287
2.51,0.013,0.391,2.3,0.0118,0.471,27.5,0.29,5.13,63.07,166,1.082,3.446,0.319
2.41,0.01,0.322,2.2,0.0175,0.409,26.78,0.2,5.53,63.7,167,1.157,3.754,0.307
2.9,0.012,0.4,2.8,0.0142,0.505,31.66,0.31,6.76,56.62,199,1.267,4.058,0.345
2.19,0.009,0.317,1.9,0.0184,0.4,23.51,0.2,3.39,69.29,133,0.688,2.025,0.218
2.57,0.01,0.373,2.6,0.014,0.459,26.98,0.25,3.76,64.85,152,0.737,2.207,0.252
3.44,0.01,0.281,3.2,0.0095,0.48,34.03,0,8.2,52.9,218,3.894,3.328,0.615
3.44,0.01,0.045,3.2,0.0095,0.48,34.03,0,8.2,52.9,218,3.894,3.328,0.615
2.42,0.007,0.032,3,0.0084,0.338,23.98,0,5.78,66.82,153,2.743,2.345,0.433
3.55,0.012,0.613,3.2,0.0062,0.539,39.68,0,18.71,35.4,333,5.96,11.338,1.405
2.83,0.009,0.49,4.5,0.0063,0.43,30.15,0,14.95,49.94,260,4.544,8.659,1.072
1.98,0.007,0.256,1.4,0.0094,0.287,13.93,0,0.13,82.8,63,0.034,0.003,0.056
1.98,0.007,0.02,1.4,0.0094,0.287,14.52,0,0.13,82.8,65,0.034,0.003,0.056
2.38,0.008,0.025,1.2,0.0142,0.346,17.47,0.78,0.16,79.3,78,0.041,0.003,0.067
3.16,0.015,0.034,2,0.0063,0.436,28.1,1.57,11.5,56.1,218,4.493,5.137,1.325
2.06,0.01,0.022,1.4,0.0082,0.285,17.72,0,0.62,78.85,82,0.163,0.014,0.269
2.46,0.033,0.101,3.8,0.0038,0.327,24.13,0,8.79,63.71,178,3.373,3.149,1.814
1.87,0.025,0.077,2.9,0.0057,0.248,18.28,0,6.66,72.51,135,2.556,2.386,1.374
3,0.014,0.342,3.2,0.013,0.576,35.11,1.49,12.52,47.25,265,1.883,5.299,4.703
8.34,0.027,0.104,6.6,0.081,1.098,81.17,3.36,0.41,6.58,354,0.169,0.009,0.143
10.9,0.142,0.082,6.6,0.016,1.848,77.7,3.37,1.1,6.3,357,0.461,0.152,0.285
8.22,0.041,0.067,7.1,0.037,0.703,85.51,3.47,0.54,3.63,372,0.138,0.011,0.238
1.77,0.032,0.164,0.8,0.0097,0.164,10.87,1.61,5.13,81.2,97,3.191,1.31,0.222
2.13,0.035,0.172,1.3,0.0065,0.155,16.13,1.74,4.8,76.01,116,1.179,2.108,1.291
2.05,0.035,0.257,2.2,0.006,0.144,14.36,0,4.96,77.49,108,3.056,1.405,0.227
1.91,0.024,0.302,1.5,0.0062,0.296,17.57,1.51,0.57,78.48,83,0.302,0.124,0.065
1.86,0.024,0.317,1.5,0.006,0.284,16.81,1.43,4.22,75.61,113,2.613,1.07,0.199
1.96,0.021,0.333,1.5,0.0105,0.326,16.94,1.44,4.2,75.25,111,0.972,1.879,1.164
1.9,0.049,0.332,2.3,0.0097,0.233,15.02,0,5.6,76.3,113,1.46,2.307,1.551
2.05,0.035,0.263,2.2,0.006,0.145,14.4,0,4.93,77.48,108,1.284,2.041,1.363
2.44,0.011,0.008,2.3,0.0151,0.447,24.24,0,0.1,72.04,105,0.026,0.002,0.043
2.1,0.005,0.243,1.6,0.0151,0.411,23.28,0,0.1,73.55,100,0.026,0.002,0.043
2.1,0.005,0.007,1.6,0.0151,0.411,23.28,0,0.1,73.55,100,0.026,0.002,0.043
4.39,0.046,0.016,5.5,0.0153,0.65,29.63,0,0.1,63.5,132,0.026,0.002,0.043
2.44,0.011,0.244,2.3,0.0151,0.447,24.24,0,0.1,72.04,105,0.026,0.002,0.043
4.39,0.046,0.252,5.5,0.0153,0.65,29.63,0,0.1,63.5,132,0.026,0.002,0.043
2.22,0.02,0.043,1.7,0.0104,0.473,21.86,0,13.21,61.96,204,3.313,5.824,3.474
1.83,0.013,0.033,1.9,0.0113,0.249,17.47,0,0.14,79.97,76,0.032,0.006,0.061
2.35,0.036,0.217,0,0.0167,0.266,15.47,0,1.28,79.6,81,0.797,0.347,0.055
2.57,0.03,0.01,2.5,0.0114,0.413,12.44,0,0.1,83.29,58,0.026,0.002,0.043
2.3,0.009,0.012,1.8,0.0126,0.545,19.59,1.43,0.15,76.67,89,0.026,0.002,0.043
1.89,0.01,0.018,1.7,0.0086,0.455,15.9,1.29,0.14,80.96,70,0.035,0.003,0.059
2.14,0.013,0.005,1.3,0.0057,0.417,18.07,0.62,0.08,78.58,79,0.026,0.002,0.043
2.12,0.036,0.341,1.1,0.0033,0.203,12.77,0,4.3,79.17,93,2.633,1.213,0.194
7.77,0.062,1.578,8.6,0.0165,0.905,73.93,0,4.59,6.22,358,1.2,0.1,1.985
2.87,0.057,0.335,1.9,0.0106,0.378,10.78,0,3.68,80.94,88,2.255,1.039,0.166
2.87,0.057,0.335,1.9,0.0106,0.378,10.78,0,3.68,80.94,88,1.377,1.352,0.746
2.1,0.01,0.007,2.1,0.0126,0.544,21.08,1.53,0.15,75.43,94,0.022,0.002,0.037
1.68,0.009,0.016,2.4,0.0197,0.407,15.71,1.15,0.1,81.58,69,0.026,0.002,0.043
1.09,0.037,0.006,0.9,0.005,0.106,3.3,2.4,0.08,95.2,15,0.041,0.01,0.004
1.03,0.039,0.005,0,0.028,0.173,3.28,0,0.07,95.15,15,0.036,0.009,0.004
2.72,0.043,0.244,2.7,0.001,0.438,3.39,0.69,0.22,92.51,21,0.114,0.029,0.012
2.72,0.043,0.008,2.7,0.001,0.438,3.39,0.69,0.22,92.51,21,0.114,0.029,0.012
3.15,0.039,0.011,0,0.011,0.436,2.33,0,0.4,92.88,19,0.207,0.052,0.022
1.09,0.037,0.208,8.3,0.0035,0.138,26.39,0,0.13,71.49,104,0.065,0.016,0.007
1.1,0.026,0.241,2.9,0.0042,0.206,8.09,3.3,0.28,89.97,34,0.146,0.037,0.015
1.1,0.026,0.005,2.9,0.0042,0.206,8.09,3.3,0.28,89.97,34,0.146,0.037,0.015
0.72,0.015,0.237,1.1,0.0047,0.23,4.9,1.02,0.07,93.69,20,0.037,0.009,0.004
0.72,0.015,0.001,1.1,0.0047,0.23,4.9,1.02,0.07,93.69,20,0.037,0.009,0.004
1.09,0.037,0.242,0.9,0.005,0.106,3.18,2.4,0.08,95.2,15,0.041,0.01,0.004
1,0.021,0.001,0.5,0.009,0.34,6.5,1.36,0.1,91.6,26,0.052,0.013,0.005
1.49,0.078,0.28,0,0.0105,0.488,3.55,0,0.19,93.52,18,0,0,0
1.49,0.078,0.044,0,0.0105,0.488,3.55,0,0.19,93.52,18,0,0,0
1.3,0.065,0.045,0,0.021,0.494,3.43,0,0.1,93.92,16,0,0,0
1.43,0.019,0.022,0.9,0.008,0.302,4.48,0.6,0.25,93.14,23,0.06,0.01,0.11
3.81,0.051,0.006,0,0.0289,0.086,3.6,0,2.53,90.07,43,0.767,0.419,1.141
1.1,0.028,0.789,2.2,0,0.333,5.2,2,0.3,91.5,28,0.092,0.05,0.135
0.67,0.017,0.249,1.6,0.0151,0.285,3.43,1.83,0.24,95.04,17,0.073,0.04,0.108
0.67,0.017,0.013,1.6,0.0151,0.285,3.43,1.83,0.24,95.04,17,0.073,0.04,0.108
7.9,0.629,0.278,0,0,3.494,63.37,0,0.72,19.68,271,0.218,0.119,0.325
0.6,0.027,0.021,1.6,0.022,0.227,4.1,2.5,0.1,94.62,18,0.03,0.017,0.045
0.68,0.025,0.039,1.6,0.0148,0.233,3.4,1.86,0.1,95.27,16,0.032,0.017,0.048
1.1,0.027,0.016,1.4,0.029,0.28,2.63,0,0.1,95.37,14,0.03,0.016,0.045
1.29,0.048,0.254,0,0.0188,0.326,8.74,6.02,0.22,88.88,39,0.029,0.027,0.095
1.29,0.048,0.02,1.8,0.0188,0.326,8.74,6.02,0.22,88.88,39,0.029,0.027,0.095
1.2,0.047,0.02,2.5,0.025,0.337,8.13,5.6,0.2,89.66,36,0.027,0.025,0.088
3.3,0.06,0.02,3.3,0.008,0.38,18.6,0,0.2,77,82,0,0,0
2.73,0.047,0.252,3.1,0.0046,0.283,15.36,2.9,0.17,81,68,0,0,0
2.73,0.047,0.016,3.1,0.0046,0.283,15.36,2.9,0.17,81,68,0.041,0.003,0.074
0.9,0.03,0.308,2.5,0.0147,0.17,4.35,1.78,0.1,92.5,22,0.026,0.01,0.051
0.91,0.03,0.661,2.9,0.0147,0.17,4.28,1.78,0.14,92.52,19,0.034,0.013,0.067
6.21,0.625,0.102,7.7,0,1.125,80.88,2.97,0.3,8.68,306,0.061,0.027,0.102
0.54,0.054,0.009,0.5,0,0.226,6.75,0.28,0.03,91.32,26,0.006,0.003,0.01
1.51,0.072,0.067,1.3,0.003,0.063,12.29,0.61,0.16,81.34,49,0.033,0.015,0.055
1.68,0.168,0.233,1.3,0.003,0.089,9.57,0.6,0.56,81.58,43,0.247,0.098,0.047
5.81,0.07,0.048,0.3,0.039,0.356,5.11,0.49,0.28,85.03,35,0.061,0.025,0.11
57.47,0.12,1.048,3.6,0.0101,1.363,23.9,3.1,7.72,4.68,290,2.65,0.675,2.08
5.92,0.012,0.098,0,0.0009,0.127,2.42,0,0.39,90.67,26,0.135,0.034,0.106
3.03,0.15,0.872,0.5,0.003,0.05,9.14,0.65,0.64,79.99,45,0.13,0.058,0.218
1.14,0.022,0.247,0,0.037,0.107,5.1,0,0.05,93.3,21,0,0,0
1.14,0.022,0.011,0,0.037,0.107,5.23,0,0.05,93.3,22,0,0,0
1.28,0.019,0.015,0,0.073,0.184,6.73,0,0.04,91.58,27,0,0,0
12.3,0.183,0.059,0,0.039,1.65,80.7,0,0.5,2,348,0.084,0.07,0.196
2.5,0.037,0.012,0,0.008,0.334,16.8,0,0.1,79.8,72,0.017,0.014,0.039
12.35,0.145,0.25,4.2,0.017,0.539,11.05,0,6.4,68.6,141,0.74,1.209,3.011
12.35,0.145,0.014,4.2,0.017,0.539,11.05,0,6.4,68.6,141,0.74,1.209,3.011
12.95,0.197,0.015,4.2,0.029,0.62,11.05,0,6.8,67.5,147,0.786,1.284,3.2
8.47,0.059,0.01,0.8,0.0083,0.355,6.53,0.52,4.45,79.45,81,0.617,1.009,2.513
8.47,0.059,0.246,0.8,0.0083,0.355,6.53,0.43,4.45,79.45,81,0.617,1.009,2.513
13.1,0.082,0.014,0.8,0.012,0.567,9.4,0,7.1,67.2,125,0.985,1.609,4.009
13.1,0.082,0.25,0.8,0.012,0.567,9.4,0,7.1,67.2,125,0,0,0
13.09,0.067,0.014,1.1,0.0153,0.484,9.57,0,6.7,69.05,122,0.929,1.518,3.783
7.89,0.165,0.566,0.7,0.0073,0.231,5.9,1.85,12.95,70.73,172,6.091,3.021,0.61
2.11,0.083,0.075,2.2,0.0135,0.23,2.92,0,0.37,93.22,19,0.06,0.01,0.155
2.81,0.127,0.322,2.4,0.0143,0.346,3.4,0.4,0.5,91.78,23,0.081,0.013,0.211
2.11,0.083,0.319,1.6,0.0135,0.23,2.92,0,0.37,93.22,19,0.06,0.01,0.155
2.97,0.136,0.306,2.4,0.0098,0.466,3.75,0.43,0.26,91.21,23,0.043,0.006,0.109
2.97,0.136,0.07,2.4,0.0098,0.466,3.75,0.43,0.26,91.21,23,0.043,0.006,0.109
4.01,0.153,0.322,3.7,0.0022,0.302,4.8,0.51,0.87,88.94,34,0.036,0,0.086
4.01,0.153,0.097,3.7,0.0022,0.302,4.8,0.51,0.87,88.94,34,0.157,0,0.371
3.63,0.129,0.074,2.9,0.0055,0.346,4.21,0.65,0.57,90.17,29,0.041,0,0.082
2.86,0.099,0.079,2.2,0.0281,0.558,3.63,0.42,0.39,91.4,23,0.063,0.01,0.165
0.91,0.027,0.237,1.4,0.0055,0.192,4.31,2.59,0.31,93.7,20,0.064,0.023,0.131
0.91,0.027,0.001,1.4,0.0055,0.192,4.31,2.59,0.31,93.7,20,0.064,0.023,0.131
1.21,0.015,0.002,1.1,0.017,0.262,3.35,2.2,0.18,94.64,16,0.044,0.016,0.089
0.61,0.012,0.005,1.4,0.0027,0.096,2.96,1.19,0.07,96.04,13,0.015,0.005,0.031
1.04,0.022,0.237,1.1,0.0116,0.177,3.79,2.48,0.39,94.25,19,0.064,0.023,0.131
1.04,0.022,0.001,1.1,0.0116,0.177,3.79,2.48,0.39,94.25,23,0.064,0.023,0.131
1.28,0.02,0.242,1.4,0.0068,0.253,5.54,2.33,0.2,92.24,25,0.04,0.015,0.082
1.28,0.02,0.006,1.4,0.0068,0.253,5.54,2.33,0.2,92.24,25,0.04,0.015,0.082
0.83,0.018,0.005,1.2,0.0064,0.209,4.8,0,0.14,93.66,20,0.029,0.011,0.06
1.01,0.021,0.002,1,0.0193,0.222,3.88,3.53,0.27,94.28,19,0.093,0.013,0.082
1.03,0.015,0.237,1.9,0.0108,0.14,3.3,1.5,0.17,95,16,0.035,0.013,0.072
