protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
3.8,0.125,0.052,0.2,0,0.192,18.2,17.4,0.8,76.5,96,0.5,0,0
3.8,0.108,0.055,0.3,0,0.177,19.9,17.2,0.9,74.8,102,0.5,0,0
16.3,0.418,1.705,0.2,0.0004,0.297,16.2,8.2,9.5,51.5,215,6.4,0,0
12,0.359,1.638,0.3,0.0004,0.24,9.2,6.7,21,51.5,276,13.1,0,0
22.7,0.712,1.298,0.2,0.0002,0.236,11.7,6.7,1,58,148,0.7,0,0
19.6,0.574,1.586,0,0.0001,0.345,11.8,8.5,10.6,51.3,222,7.1,0,0
16.3,0.466,1.499,0,0.0002,0.335,9.8,8.1,22,45.8,303,14.4,0,0
3.05,0.132,0.111,0.3,0,0.224,21.15,20.85,2.7,72.2,119,1.681,0.78,0.1
3.86,0.146,0.095,0,0,0.183,17.75,17.75,3.03,74.45,112,1.886,0.875,0.113
1.75,0.033,0.078,0,0,0.114,6.16,0,3.41,88.18,61,3.037,0.176,0.008
34.3,1.184,0.517,0,0.0057,1.592,49,49,5.78,2.97,387,3.598,1.669,0.215
3.31,0.116,0.105,0,0.001,0.151,4.79,4.79,0.88,90.13,40,0.548,0.254,0.033
4.1,0.143,0.086,0,0.0015,0.18,5.3,5.3,2,87.7,56,1.242,0.576,0.071
7.91,0.284,0.127,0,0.0026,0.371,54.4,54.4,8.7,27.16,321,5.486,2.427,0.337
7.55,0.29,0.115,0,0.0012,0.332,11.35,11.35,0.2,79.4,78,0.121,0.062,0.006
6.81,0.261,0.106,0,0.0019,0.303,10.04,0,7.56,74.04,134,4.591,2.335,0.245
6.81,0.261,0.106,0,0.0019,0.303,10.04,10.04,7.56,74.04,134,4.591,2.335,0.245
6.81,0.261,0.106,0,0.0019,0.303,10.04,10.04,7.56,74.04,135,4.591,2.335,0.245
3.52,0.114,0.044,1,0.0002,0.197,10.74,9.66,2.34,82.45,77,1.431,0.677,0.084
3.24,0.116,0.061,0.5,0.0009,0.17,10.44,9.94,1,82.34,63,0.616,0.3,0.035
2.99,0.194,0.066,0.7,0,0.123,12.13,9.55,1.9,82.17,78,1.177,0.455,0.089
2.99,0.109,0.066,0.7,0,0.169,12.13,9.55,1.9,82.17,76,1.177,0.455,0.089
3.17,0.112,0.06,0.8,0.0009,0.167,10.34,9.54,3.39,82.3,83,2.104,0.99,0.124
35.5,0.28,2.28,0,0.0067,0.68,51.8,0,0.2,4.9,354,0.124,0.058,0.007
35.1,1.231,0.549,0,0.0056,1.705,52.19,52.19,0.72,3.96,358,0.467,0.187,0.028
35.1,1.231,0.549,0,0.0056,1.705,52.19,52.19,0.72,3.96,358,0.47,0.19,0.03
36.16,1.257,0.535,0,0.0068,1.794,51.98,51.98,0.77,3.16,362,0.499,0.2,0.03
36.16,1.257,0.535,0,0.0068,1.794,51.98,51.98,0.77,3.16,362,0.499,0.201,0.03
26.32,0.912,0.371,0,0.0086,1.33,38.42,38.42,26.71,2.47,496,16.742,7.924,0.665
26.32,0.912,0.371,0,0.0086,1.33,38.42,38.42,26.71,2.47,496,16.742,7.924,0.665
3.33,0.128,0.057,0,0.0009,0.139,4.74,0,3.46,87.67,63,0.768,1.783,0.75
3.33,0.128,0.057,0,0.0009,0.139,4.74,4.74,3.4,87.73,63,3.101,0.1,0.01
3.37,0.125,0.044,0,0,0.15,4.99,5.2,0.97,89.92,42,0.633,0.277,0.035
3.4,0.204,0.052,0,0.001,0.166,4.85,4.85,0.18,90.8,35,0.117,0.047,0.007
3.56,0.134,0.05,0,0.0013,0.204,4.45,4.45,4.14,87.03,69,2.667,1.109,0.149
1.03,0.032,0.017,0,0.005,0.051,6.89,6.89,4.38,87.5,70,2.009,1.658,0.497
1.6,0.082,0.055,0,0,0.15,5.3,5.3,2,90,46,0.254,0.484,1.174
3.75,0.169,0.052,0,0.0023,0.178,5.18,0,6.89,83.39,97,4.597,1.787,0.146
3.1,0.101,0.003,0,0.0009,0.253,4.46,4.46,3.46,88.2,61,2.154,0.999,0.128
3.93,0.142,0.058,0,0.0012,0.18,5.52,0,1.17,88.74,48,0.728,0.338,0.043
3.48,0.128,0.052,0,0.001,0.162,4.97,0,0.97,89.81,43,0.604,0.28,0.036
3.37,0.125,0.044,0,0,0.15,4.99,5.2,0.97,89.92,42,0.633,0.277,0.035
3.96,0.143,0.059,0,0.0011,0.182,5.56,0,0.25,89.36,41,0.162,0.065,0.009
3.57,0.129,0.053,0,0.001,0.171,5.02,5.02,0.25,90.38,37,0.162,0.065,0.009
3.37,0.122,0.042,0,0,0.156,4.96,5.09,0.08,90.84,34,0.056,0.022,0.003
3.37,0.122,0.042,0,0,0.156,4.96,5.09,0.08,90.84,34,0.051,0.021,0.003
3.28,0.119,0.049,0,0.0015,0.151,4.65,0,3.66,87.69,64,2.278,1.057,0.136
3.95,0.143,0.059,0,0.0011,0.182,5.49,5.26,1.98,87.71,56,1.232,0.572,0.074
3.48,0.128,0.052,0,0.001,0.162,4.97,0,1.92,88.86,51,1.195,0.555,0.071
3.95,0.143,0.059,0,0.0011,0.182,5.49,0,1.98,87.71,56,1.232,0.065,0.009
3.3,0.12,0.047,0,0.0002,0.14,4.8,5.06,1.98,89.21,50,1.257,0.56,0.073
3.3,0.12,0.047,0,0.0002,0.14,4.8,5.06,1.98,89.21,50,1.257,0.56,0.073
5.98,0.193,0.044,0,0.0042,0.137,5.36,0,7,80.7,108,4.603,1.724,0.308
3.15,0.113,0.043,0,0,0.132,4.8,5.05,3.25,88.13,61,1.865,0.812,0.195
3.15,0.113,0.043,0,0,0.132,4.78,5.05,3.27,88.13,61,1.865,0.812,0.195
40,0.8,1.15,0,0,0.6,40,1.5,5,8.6,370,3.11,1.446,0.186
50,1.2,0.25,2,0.042,0.84,22,4,12,12,396,1.087,8.474,1.239
45.71,0.5,0.329,7.1,0.03,1.129,18.5,5.71,17.14,15,411,1.553,12.105,1.77
